Alternative,Subset,g1,g2,g3,g4,Class
a133,NZ,48.57,477.5,1.72,54,Cl2
a134,NZ,61.74,123.3,0.25,40,Cl2
a135,NZ,67.93,395.37,1.4,39,Cl2
a136,NZ,47.34,162.95,0.75,21,Cl1
a137,NZ,53.34,516.84,2.48,62,Cl3
a138,NJN,68.67,3,0,34.5,Cl3
a139,HS,38.23,2,0,43,Cl2
a140,HS,24.55,6,0,15,Cl1
a141,SI,0,41.38,81,17,Cl1
a142,SI,40.77,131.19,11.81,54,Cl2
a143,SI,60.8,539.1,43.51,74,Cl3
a144,SI,28.86,5.31,11.24,48,Cl2
a145,SI,18.36,34,1.57,40,Cl1
a146,SI,2.42,56,14.83,60,Cl1
a147,SI,116.19,396.65,6.62,100,Cl3
a148,NJN,33.18,186.95,92.06,41.15,Cl2
a149,NJN,98.41,305.43,23.82,79.05,Cl3
a150,SI,102.58,510.09,2.52,85,Cl2
a151,SI,140,0,0,5,Cl1
a152,SI,112.95,173.24,3.47,70,Cl3
a153,NZ,70.67,74.48,70.44,22,Cl3
a154,SI,110.91,292.06,3.64,80,Cl3
a155,NZ,73.82,674.12,1.46,77,Cl3
a156,SI,32.09,253.09,5.14,78,Cl2
a157,NZ,67.32,1331.18,3.68,88,Cl2
a158,SI,4.59,134.09,34.79,53,Cl2
a159,HS,49.05,37.4,0.36,27,Cl2
a160,HS,36.95,285.26,0,20,Cl2
a161,NJN,18.93,41.52,3.65,19.87,Cl1
a162,HS,48.76,87.43,2.07,64,Cl2
a163,HS,41.35,333.49,0.64,55,Cl2
a164,HS,32.93,150.01,0.22,57,Cl2
a165,NZ,98.57,104.32,14.86,62,Cl3
a166,NJN,30.46,36.43,47.71,36.24,Cl2
a167,NZ,68.19,226.02,11.8,61,Cl3
a168,SI,19.57,2,0,28,Cl1
a169,HS,23.5,36,0,15,Cl1
a170,NZ,98.37,480.56,1.02,92,Cl3
a171,NZ,74.19,1803.48,0.71,80,Cl3
a172,NZ,76.74,475.15,0.25,70,Cl3
a173,SI,32.23,982,22.74,83,Cl3
a174,HS,18.93,71.3,0,20,Cl1
a175,HS,53.62,0,32.34,17,Cl2
a176,NZ,87.39,544.71,1.48,63,Cl3
a177,NZ,100.8,779.71,8.7,78,Cl4
a178,NZ,112.48,579.37,7.62,75,Cl4
a179,HS,26,18.7,7,15,Cl1
a180,HS,42.59,552.81,2.94,73,Cl2
a181,SI,7.41,54.08,63.14,59,Cl2
a182,HS,61.05,297.86,93.54,70,Cl3
a183,SI,7.04,167.86,35.44,75,Cl2
a184,HS,55.68,512.35,2.23,92,Cl4
a185,HS,41.19,25.59,1.17,15,Cl2
a186,SI,123.82,551.1,1.33,80,Cl3
a187,SI,37.26,284.72,38.04,100,Cl3
a188,NZ,40.19,640,36.98,75,Cl2
a189,NZ,114.06,1219,8.83,80,Cl4
a190,SI,81.27,459.68,4.53,75,Cl3
a191,NJN,44.17,2.34,13,3.33,Cl2
a192,NZ,102.19,1314,12.72,80,Cl3
a193,NZ,95.57,278.46,5.2,45,Cl3
a194,NZ,110.82,174.92,4.97,30,Cl3
a195,SI,37.13,279.35,6.56,80,Cl2
a196,NZ,25.5,240.64,5.71,39,Cl1
a197,NJN,86.51,103.83,1.93,48.24,Cl3
a198,NZ,86.59,428.53,1.24,20,Cl2
a199,SI,46.94,76.64,7.19,70,Cl2
a200,SI,30.76,299.45,18.47,80,Cl2
a201,NJN,66.66,223.31,18.43,66.18,Cl2
