Alternative,Subset,g1,g2,g3,g4,Class
a561,NZ,67.24,1350.53,0.13,100,Cl3
a562,NZ,67.97,524.58,0.06,78,Cl2
a563,NZ,63.33,213.63,0.13,40,Cl2
a564,HS,49.39,111.8,2.73,20,Cl2
a565,HS,49.72,315.68,0.21,45,Cl3
a566,TA,22.31,41.16,0,37,Cl2
a567,TA,19.49,240,0,70,Cl2
a568,TA,28.59,77,0,20,Cl2
a569,NJN,31.43,35.29,0.41,27.76,Cl2
a570,TA,23.09,216,0,40,Cl2
a571,TA,41.55,297,0,65,Cl3
a572,TA,12.08,221,0,35,Cl1
a573,TA,31.53,259,0.41,70,Cl3
a574,HS,46.64,451.78,0.51,40,Cl3
a575,HS,43.85,521.79,0.27,45,Cl3
a576,HS,48.08,228.09,0.21,65,Cl2
a577,HS,47.74,590.21,0.39,70,Cl3
a578,HS,42.89,508.48,0.24,45,Cl2
a579,HS,42.39,568.7,0.15,50,Cl2
a580,HS,40.18,100.36,0.51,35,Cl2
a581,HS,39.46,251.74,0.21,25,Cl2
a582,HS,50.18,621.68,0.12,50,Cl2
a583,HS,43.33,657.66,0.54,60,Cl3
a584,HS,46.96,369.27,0.69,45,Cl3
a585,HS,56.67,273.87,1.97,60,Cl3
a586,HS,67.99,311.58,0.63,30,Cl3
a587,HS,45.22,660.23,0.3,45,Cl3
a588,HS,39.69,261.04,0.12,20,Cl2
a589,NJN,60.69,91.97,0.15,24.91,Cl2
a590,HS,38.95,801.84,0.16,45,Cl2
a591,HS,44.98,890.2,0.52,75,Cl3
a592,NZ,113.87,500.49,9.54,85,Cl4
a593,NZ,97.89,671.12,2.15,80,Cl2
a594,SI,109.18,783.33,3.28,85,Cl3
a595,HS,38.06,356.53,0.41,45,Cl2
a596,HS,38.23,1005.72,0.08,88,Cl2
a597,HS,45.82,474.07,0.37,72,Cl3
a598,SI,104.78,624.62,2.08,85,Cl2
a599,HS,47.66,866.43,0.54,60,Cl3
a600,NZ,72.1,554.13,1.08,73,Cl3
a601,HS,40.75,383.68,0.09,65,Cl3
a602,HS,40.67,523.25,0.16,50,Cl2
a603,HS,51.83,131.05,0.35,40,Cl2
a604,HS,55.32,563.45,0.67,89,Cl4
a605,NZ,102.12,1405.79,3.07,90,Cl3
a606,SI,121.67,879.87,2.08,85,Cl3
a607,HS,50.68,953.42,0.54,100,Cl3
a608,SI,103.61,917.49,1.98,80,Cl2
a609,HS,42.68,1437.39,1.23,82,Cl3
a610,SI,83.81,624.97,1.29,85,Cl3
a611,NZ,84.3,647.79,2.37,70,Cl3
a612,HS,53.73,509.57,0.49,72,Cl3
a613,NJN,49.89,595.14,0.58,88.72,Cl3
a614,HS,47.44,934.1,0.45,91,Cl3
a615,NJN,33.99,57.54,0.09,49.45,Cl2
a616,HS,47.86,673.8,0.51,70,Cl4
a617,HS,45.81,563.28,0.28,67,Cl3
a618,HS,42.37,325.02,0,35,Cl2
a619,NZ,94.03,617.51,1.91,76,Cl3
a620,NZ,77.64,2579,1.38,100,Cl3
a621,NZ,79.57,483.25,0.57,51,Cl3
a622,NZ,109.38,264.6,2.3,65,Cl3
a623,NZ,102.72,1062,6.09,89,Cl4
a624,NZ,104.71,935.27,2.91,64,Cl3
a625,SI,124.22,1105.47,4.27,100,Cl3
a626,HS,43.63,834.77,0.21,78,Cl3
a627,NJN,55.71,901.81,1.41,94.75,Cl4
a628,SI,116.24,1372.81,3.17,100,Cl3
a629,NZ,88.67,517.84,6.13,88,Cl3
a630,HS,49.38,1216.96,1.35,79,Cl3
a631,SI,100.57,919.06,1.87,100,Cl4
a632,HS,54.7,894.42,1.06,100,Cl3
a633,HS,43.48,888.2,0.62,90,Cl3
a634,NJN,46.94,440.38,0.27,65.55,Cl3
a635,NJN,49.36,546.36,0.6,54.08,Cl3
a636,HS,41.08,68.23,0,38,Cl2
a637,HS,43.82,53,0,20,Cl2
a638,HS,45.33,547.29,0.22,78,Cl3
a639,NZ,60.51,213.21,0.28,33,Cl2
a640,NJN,86.43,242.89,0.84,42.97,Cl2
a641,NJN,40.74,130.8,0.01,30.77,Cl2
a642,HS,46.69,258.7,0.04,40,Cl2
a643,NJN,42.8,42.5,0,6.82,Cl1
a644,NJN,57.86,271.64,2.58,66.96,Cl3
a645,SI,95.63,166.19,0.88,35,Cl2
a646,NJN,37.62,481.05,0.21,43.55,Cl2
a647,HS,44.84,274.16,0.21,60,Cl3
a648,HS,41.58,178.54,0.31,30,Cl2
a649,HS,34.18,433.24,0.46,25,Cl2
a650,HS,51.54,271.71,0.04,12,Cl2
a651,HS,38,17,0,10,Cl2
a652,HS,42.98,742.25,0.03,27,Cl3
a653,NJN,40.99,22.83,0.07,17.27,Cl2
a654,TA,31.67,80,0,35,Cl2
a655,HS,44.58,626.02,0.1,60,Cl3
a656,NJN,39.31,14.86,2.11,62.56,Cl2
a657,NJN,71.41,70.41,0.85,31.31,Cl2
a658,NZ,80.9,141.28,2.83,50,Cl2
a659,HS,48.34,368.48,0.5,45,Cl3
a660,NZ,103.95,1638.08,2.87,76,Cl3
a661,SI,106.35,402.29,2,70,Cl2
a662,HS,50.76,906.86,0.41,85,Cl3
a663,HS,44.03,1260.06,0.4,98,Cl3
a664,HS,50.64,833.93,0.53,75,Cl3
a665,SI,141.92,293.84,1.4,45,Cl3
a666,SI,79.49,184.1,0.14,70,Cl2
a667,NZ,54.76,334.85,0.73,53,Cl2
a668,HS,42.45,166.46,0.2,36,Cl2
a669,HS,45.65,702.98,0.68,55,Cl3
a670,HS,49.94,377.36,0.5,75,Cl3
a671,HS,53.02,544.99,1.04,60,Cl3
a672,TA,39.99,175.33,0.77,35,Cl2
a673,NZ,90.42,722.82,0.97,43,Cl2
a674,SI,109.29,662.11,3.42,80,Cl3
a675,HS,40.19,194.99,0.58,50,Cl2
a676,NJN,40.81,261.8,0.14,41.03,Cl2
a677,HS,40.02,1390.77,0.56,77,Cl2
a678,SI,81.8,639.38,0.5,50,Cl2
a679,NZ,59.49,342.14,0.89,77,Cl2
a680,HS,36.25,513.14,0.13,36,Cl2
a681,HS,40.62,563.36,0.86,63,Cl2
a682,HS,37.89,513.82,0.06,40,Cl2
a683,NZ,89.59,534.88,2.28,47,Cl3
a684,NZ,74.85,1107.63,2.89,81,Cl3
a685,NZ,76.7,1452.39,0.72,84,Cl3
a686,NZ,72.99,1277.97,4.14,85,Cl3
a687,NZ,75.45,397.53,0.36,75,Cl2
a688,NZ,72,1042.77,0.56,30,Cl2
a689,NZ,72.9,1060.36,0.32,78,Cl3
a690,NZ,67.95,355.13,0.36,64,Cl2
a691,NZ,86.24,420.24,0.69,33,Cl3
a692,NZ,81.32,811.76,2.68,85,Cl3
a693,NZ,72.3,1709.3,1.56,100,Cl3
a694,NZ,71.68,885.05,0.09,52,Cl2
a695,NZ,54.36,1184.93,0.49,75,Cl2
a696,NZ,60.32,1289.41,0.37,84,Cl3
a697,NZ,96.1,539.66,0.99,69,Cl4
a698,NZ,50.49,476.43,0.04,52,Cl1
a699,NZ,75.04,291.62,0.11,31,Cl2
a700,NZ,91.49,1817.58,1.33,83,Cl4
a701,NZ,83.04,257.79,1.29,75,Cl3
a702,NZ,91.14,840.3,0.7,72,Cl3
a703,NZ,79.03,775.01,0.2,30,Cl3
a704,NZ,79.49,317.83,0.43,50,Cl2
a705,NZ,63.25,1051.96,0.82,35,Cl2
a706,NZ,55.93,451.55,0.02,65,Cl2
a707,NZ,95.03,436.7,1.66,25,Cl2
a708,SI,119.72,477.32,2.9,95,Cl3
a709,HS,45.36,587.14,0.51,86,Cl3
a710,SI,111.16,997.81,3.06,90,Cl3
a711,NJN,55.78,324,0.43,68.13,Cl3
a712,SI,86.8,341.02,0.78,95,Cl2
a713,HS,45.72,405.63,0.12,40,Cl2
a714,HS,55.45,906.62,0.58,73,Cl4
a715,NZ,66.79,250.4,3.32,80,Cl3
a716,HS,51.06,332.07,0.16,38,Cl2
a717,HS,55.36,491.84,4.05,71,Cl3
a718,HS,41.67,463.72,0.12,55,Cl3
a719,TA,48.14,796.72,0.55,75,Cl4
a720,HS,49.78,322.24,0.22,43,Cl3
a721,TA,32.24,285,0,35,Cl2
a722,TA,19.32,236,0,57,Cl2
a723,TA,24.17,130,0,30,Cl2
a724,TA,19.87,358,0,80,Cl2
a725,TA,36.5,461.03,0,60,Cl3
a726,TA,18.64,216.92,0.03,75,Cl2
a727,TA,25.83,325,0,30,Cl2
a728,SI,90.4,247.44,1.67,55,Cl2
a729,HS,39.92,56.56,0.02,20,Cl2
a730,HS,34.78,503.18,0.02,65,Cl2
a731,SI,57.84,141.65,0.22,30,Cl1
a732,HS,34.21,524.82,1.09,42,Cl2
a733,HS,37.36,100,0.16,35,Cl2
a734,NZ,76.6,317.05,2.01,48,Cl2
a735,HS,45.82,260.06,0,10,Cl2
a736,HS,48.22,207.95,0.16,43,Cl3
a737,HS,43.68,244.99,0.04,36,Cl2
a738,HS,34.2,86.65,0.03,31,Cl1
a739,HS,37.79,0,0,18,Cl2
a740,HS,45.5,400.17,0.1,44,Cl3
a741,HS,51.11,89,0,6,Cl2
a742,HS,43.09,868.48,0.49,76,Cl3
a743,NZ,73.24,605.06,0.36,69,Cl3
a744,NJN,49.78,288.57,0.57,20.52,Cl3
a745,SI,92.24,374.42,0.94,50,Cl2
a746,HS,34.49,266.85,0.03,16,Cl1
a747,TA,41.59,240.96,1.34,40,Cl3
a748,HS,39.16,406.23,0.09,48,Cl2
a749,HS,37.41,54.98,1.77,5,Cl2
a750,SI,73.63,161.72,0.27,45,Cl2
a751,NZ,64.69,731.92,0.65,82,Cl2
a752,NZ,62.18,364.95,0.73,78,Cl2
a753,NZ,71.81,406.32,1.19,67,Cl2
a754,NZ,66.66,420.57,1.69,58,Cl2
a755,NZ,75.24,336.55,0.24,75,Cl2
a756,NZ,88.33,505.71,3.23,45,Cl3
a757,NZ,63.06,336.28,1.87,59,Cl2
a758,HS,46.18,286.04,0.12,20,Cl2
a759,NZ,52.87,369.01,3.09,87,Cl2
a760,NZ,68.7,398.22,4.58,45,Cl3
a761,NZ,85.56,489.22,2.24,83,Cl3
a762,NZ,85.06,690.59,3.15,88,Cl3
a763,NZ,67.13,331.21,0.78,60,Cl2
a764,NZ,62.32,762.55,2.54,76,Cl2
a765,NZ,79.15,300.52,2.33,63,Cl2
a766,NZ,86.58,272.11,0.93,59,Cl3
a767,NJN,59,286.95,1.14,76.83,Cl2
a768,NZ,87.97,569.76,5.34,86,Cl3
a769,NJN,152.39,366.69,1.75,58.18,Cl4
a770,NZ,61.59,693.97,1.03,100,Cl2
a771,NZ,55.71,416.02,1.04,77,Cl1
a772,NZ,75.29,328.66,1.19,73,Cl2
a773,NZ,57.94,289.18,13.58,96,Cl2
a774,NJN,51.83,187.47,1.31,57.82,Cl1
a775,NZ,74.55,339.12,4.81,64,Cl3
a776,NJN,70.57,234.59,1.42,31.51,Cl2
a777,NZ,81.37,393.83,0.83,76,Cl3
a778,NZ,100.98,34.12,1.29,31,Cl2
a779,NZ,74.77,429.3,1.09,66,Cl2
a780,HS,48.02,100.07,0.25,20,Cl2
a781,HS,44.16,507.02,0,68,Cl3
a782,NJN,75,105.18,0.35,51.63,Cl2
a783,NZ,50.51,249.66,0.02,70,Cl1
a784,TA,23.08,108,0,30,Cl2
a785,HS,38.19,63,0,26,Cl1
a786,HS,31.88,92.02,0,25,Cl2
a787,HS,47.93,732.04,0.21,47,Cl2
a788,TA,31.55,73,0,25,Cl2
a789,NZ,35.39,127.54,0.02,47,Cl1
a790,NZ,72.71,397.86,2.26,27,Cl1
a791,HS,37.35,535.43,0.11,46,Cl2
a792,HS,41.16,936.76,0.18,30,Cl2
a793,NZ,70.13,152.13,3.15,71,Cl3
a794,SI,95.8,207.78,1.98,50,Cl2
a795,HS,45.38,711.63,0.24,55,Cl3
a796,NZ,49.57,334.13,1.68,50,Cl2
a797,HS,33.86,286,0.03,30,Cl2
a798,HS,31.15,312,0,18,Cl2
a799,HS,38.86,585.16,3.17,45,Cl2
a800,TA,26.73,437,0.67,70,Cl2
a801,NZ,95.53,598.11,3.2,63,Cl2
a802,NJN,41.07,135.17,0.57,23.35,Cl2
a803,HS,41.56,1933.87,0.27,86,Cl3
a804,SI,111.4,394.99,0.89,68,Cl2
a805,SI,119.87,1154.41,1.62,90,Cl3
a806,NZ,83.39,638.55,1.56,85,Cl3
a807,NJN,42.59,566.03,0.22,57.27,Cl2
a808,HS,42.18,374.12,0.09,50,Cl2
a809,HS,40.79,701.24,0.32,75,Cl3
a810,TA,36.49,128,6.46,55,Cl3
a811,HS,49.25,182.68,0.34,19,Cl2
a812,NJN,32.81,6.21,0.04,24.36,Cl1
a813,NJN,28.43,1.09,0,6.38,Cl1
a814,NJN,63.58,26.74,0.49,18.04,Cl2
a815,SI,29.72,248.76,0.66,55,Cl1
a816,HS,30.09,102.06,0,15,Cl1
a817,NZ,39.3,0,0,6,Cl1
a818,TA,17.08,135,0,15,Cl1
a819,SI,32.98,384.92,0.95,55,Cl1
a820,SI,27.93,153.01,0.82,70,Cl1
a821,NZ,64.65,223.16,0.93,65,Cl1
a822,SI,58.19,379.19,6.07,58,Cl2
a823,NZ,71.68,354.89,1.45,81,Cl2
a824,NJN,93.01,56.18,1.71,27.47,Cl2
a825,SI,62.5,108.56,4.68,40,Cl2
a826,HS,42.62,17.67,0.33,30,Cl2
a827,NJN,96.33,284.02,0.83,55.68,Cl2
a828,HS,51.5,0,0,15,Cl2
a829,HS,42.42,252.1,0.06,35,Cl2
a830,HS,47.28,288.79,0.18,73,Cl3
a831,SI,111.68,253.86,1,60,Cl2
a832,NJN,51.56,201.32,0.2,53.05,Cl2
a833,SI,75.48,59.14,0.05,50,Cl2
a834,HS,36.43,146.59,0.04,45,Cl2
a835,HS,43.11,569.11,0.38,45,Cl3
a836,NZ,81.09,330.54,3.81,71,Cl3
a837,NZ,85.63,448.79,1.18,27,Cl2
a838,SI,58.69,386.34,0.84,80,Cl2
a839,HS,44.84,786.22,0.08,56,Cl2
a840,NZ,65.98,639.22,1.35,78,Cl3
a841,SI,70.58,139.46,0.46,60,Cl2
a842,NZ,77.94,420.49,2.68,82,Cl2
a843,HS,45.73,279.73,1.01,17,Cl2
a844,NZ,47.75,357.4,0.32,20,Cl1
a845,NJN,87.7,174.59,3.44,43.47,Cl2
a846,HS,37.93,438.48,0.2,42,Cl2
a847,NZ,82.1,300.73,1.08,57,Cl2
a848,NZ,77.15,430.19,1.89,84,Cl2
a849,HS,42.81,714.98,0.02,28,Cl2
a850,TA,26.04,140,0,50,Cl2
a851,HS,47.26,227.08,0.05,26,Cl3
a852,HS,41.02,92.39,9.9,72,Cl2
a853,HS,45.42,52.78,0.12,55,Cl2
a854,NJN,99.1,228.41,9.2,66.29,Cl3
a855,NJN,44.64,85.79,3.73,70.03,Cl2
a856,HS,77.19,83.2,13.65,87,Cl3
a857,NJN,99.59,171.6,27.9,67.9,Cl3
a858,HS,58.11,21.4,2.53,43,Cl3
a859,HS,77.69,146.07,4.76,93,Cl3
a860,SI,100.34,73.76,1.73,75,Cl2
a861,HS,52.86,573.24,3.33,100,Cl4
a862,NZ,91.21,927.29,3.23,68,Cl2
a863,SI,121.85,1156.73,5.5,100,Cl3
a864,NJN,29.62,554.72,0.19,48.18,Cl2
a865,NJN,49.47,475.84,1.67,92.84,Cl3
a866,SI,124.63,1722,5.2,100,Cl4
a867,NZ,48.98,375.18,1.66,59,Cl2
a868,NZ,82.02,394.09,1.48,65,Cl3
a869,HS,42.65,1489.1,1.54,85,Cl3
a870,HS,36.5,571.72,0.58,51,Cl2
a871,SI,97.71,1148.46,2.25,100,Cl4
a872,HS,72.29,565,3.06,100,Cl4
a873,HS,50.88,1108.79,0.55,80,Cl3
a874,HS,43.14,1028.86,1.12,81,Cl3
a875,HS,42.67,399.85,0.3,83,Cl3
a876,HS,43.17,378.62,0.71,45,Cl2
a877,HS,48.26,1104.75,0.71,89,Cl3
a878,HS,47.4,1005.13,0.49,38,Cl3
a879,HS,97.89,536.94,2.52,96,Cl4
a880,HS,44.86,369.64,1.09,74,Cl2
a881,HS,50.24,534.33,0.49,65,Cl3
a882,NZ,109.32,703.61,7.2,93,Cl3
a883,SI,121.6,609.63,4.53,90,Cl3
a884,HS,25.14,1632.2,0.21,75,Cl1
a885,SI,110.8,662.5,1.41,80,Cl3
a886,SI,85.87,741.16,1.65,85,Cl3
a887,NZ,98.59,570.1,1.04,66,Cl2
a888,NJN,42.72,811.49,1.16,67.46,Cl2
a889,NZ,73.4,505.59,2.55,80,Cl3
a890,HS,37.82,1249.07,0.32,64,Cl2
a891,HS,47.07,941.63,0.38,70,Cl3
a892,TA,28.27,128,0,52,Cl2
a893,SI,43.44,257,1.13,70,Cl2
a894,HS,43.01,81.34,0,15,Cl2
a895,SI,115.54,282.32,1.14,70,Cl3
a896,HS,39.97,564.76,0.09,73,Cl2
a897,SI,65.65,345.43,2.34,76,Cl2
a898,NZ,58.47,29.44,0.15,40,Cl2
a899,SI,85.2,186.63,0.61,85,Cl2
a900,SI,61.34,114,0.21,67,Cl2
a901,NZ,79.64,103.22,0.19,15,Cl2
a902,HS,36.95,172.39,0,31,Cl1
a903,HS,36.47,87.33,0,20,Cl2
a904,SI,27.58,14,4.17,33,Cl1
a905,NZ,74.31,2222.9,0.97,37,Cl3
a906,NZ,71.1,739.18,0.35,73,Cl2
a907,NZ,81.18,675.11,1.14,63,Cl3
a908,NZ,75.63,362.4,0.14,95,Cl3
a909,NZ,68.13,658.51,0.56,61,Cl2
a910,SI,77.24,678,13.32,48,Cl3
a911,NJN,34.2,176.73,1.96,37.64,Cl2
a912,SI,48.59,492.97,4.34,31,Cl2
a913,SI,45.39,191.96,1.99,72,Cl2
a914,HS,37.84,159.86,0.37,53,Cl2
a915,SI,77.89,594.66,8.74,53,Cl3
a916,SI,41.72,496.74,9.82,70,Cl2
a917,NJN,110.24,341.85,6.28,65.14,Cl3
a918,SI,17.54,234.57,17.78,64,Cl2
a919,NZ,57.77,259.72,6.62,36,Cl2
a920,SI,17.8,344.22,7.66,56,Cl2
a921,NJN,52.78,200.51,13.53,41.7,Cl3
a922,NZ,89.8,830.38,8.64,62,Cl3
a923,SI,15.3,161,0.7,65,Cl2
a924,SI,27.53,278.76,34.03,60,Cl3
a925,SI,17.81,215.48,36.26,56,Cl2
a926,SI,48,0,0,22,Cl1
a927,NJN,46.38,121.13,1.63,46.67,Cl2
a928,HS,27.68,42.73,0.01,30,Cl1
a929,HS,27.4,35.59,0.06,20,Cl1
a930,HS,19.12,23,0,10,Cl1
a931,HS,26.34,77,0.04,17,Cl1
a932,HS,32.87,95.41,0.05,21,Cl1
a933,HS,21.27,0,0,0,Cl1
a934,HS,20.21,28.42,2.19,15,Cl1
a935,HS,42.61,173.98,0,10,Cl2
a936,NJN,18.11,13.29,0,0,Cl1
a937,NJN,36.53,5.88,0,0,Cl1
a938,HS,18.35,19,0.19,5,Cl1
a939,HS,32.43,15.54,0,17,Cl1
a940,HS,26.23,37.51,1.5,17,Cl1
a941,SI,30.08,125.12,24,44,Cl1
a942,NJN,26.97,15.73,0,18.08,Cl1
a943,HS,36.97,59.12,0.76,66,Cl2
a944,NJN,17.48,11.77,0,11.22,Cl1
a945,HS,24.6,9.87,0.04,5,Cl1
a946,HS,28.18,2,0,5,Cl1
a947,HS,46.5,0,0,0,Cl2
a948,HS,29.56,23,0,13,Cl1
a949,HS,33.41,9,0,5,Cl2
a950,HS,63.74,34.92,3.39,50,Cl3
a951,HS,53.89,37.51,1.04,10,Cl2
a952,HS,31.63,26.2,0,26,Cl1
a953,NJN,20.13,0.43,0,8.94,Cl1
a954,HS,28.43,19,0,15,Cl1
a955,HS,31.32,41,0,15,Cl2
a956,HS,26.73,47,0,5,Cl1
a957,HS,55.36,126.77,1.03,48,Cl2
a958,SI,70.13,32.43,4.45,42,Cl2
a959,NZ,72.32,37.98,0.43,29,Cl2
a960,SI,63.16,20,0,37,Cl2
a961,NJN,23.19,4.92,0,6.15,Cl1
a962,HS,28.92,53.45,1.28,5,Cl1
a963,HS,23.71,8.21,0.13,20,Cl1
a964,HS,41.47,75.91,1.65,19,Cl2
a965,HS,50.59,49.48,0,24,Cl2
a966,SI,38.81,90.99,0.05,35,Cl1
a967,NJN,34.6,50.19,0,24,Cl1
a968,HS,46.91,34,0.03,20,Cl2
a969,HS,29.13,8,0,12,Cl1
a970,HS,44.5,32.33,0,34,Cl2
a971,HS,32.91,68.89,1.52,0,Cl2
a972,HS,37.57,302.27,5.77,54,Cl2
a973,HS,23.29,120.95,0.04,15,Cl1
a974,SI,35.92,8,2.45,50,Cl1
a975,SI,0,0.2,0,17,Cl1
a976,HS,16,20,0,3,Cl1
a977,NZ,0,0,0,0,Cl1
a978,NJN,10.27,3.39,0.45,13.09,Cl1
a979,NJN,22.77,0,0,0,Cl1
a980,NZ,22.43,4.69,0,5,Cl1
a981,HS,42.44,9,0,0,Cl2
a982,HS,18.61,2,1.98,17,Cl1
a983,NZ,67.9,17.58,0.18,27,Cl2
a984,NZ,70.44,276.51,0.76,70,Cl2
a985,SI,35.85,312.74,0.61,70,Cl1
a986,HS,43.56,89.79,0.06,27,Cl2
a987,SI,60.85,367.16,1.47,71,Cl2
a988,SI,55.66,274.4,0.38,65,Cl2
a989,SI,70.84,560.53,2.24,78,Cl2
a990,NZ,48.02,512.78,0.73,45,Cl1
a991,NZ,50.8,506.43,2.16,74,Cl1
a992,SI,56.81,86.73,0.55,50,Cl2
a993,SI,55.7,123.18,0.3,4,Cl3
